student_id,gender,race_ethnicity,parent_education,lunch,test_preparation,math,reading,writing,total,average,percentage,grade
Student-001,female,group B,bachelor's degree,standard,none,72,72,74,218,72.67,72.67,C
Student-002,female,group C,some college,standard,completed,69,90,88,247,82.33,82.33,B
Student-003,female,group B,master's degree,standard,none,90,95,93,278,92.67,92.67,A
Student-004,male,group A,associate's degree,free/reduced,none,47,57,44,148,49.33,49.33,F
Student-005,male,group C,some college,standard,none,76,78,75,229,76.33,76.33,C
Student-006,female,group B,associate's degree,standard,none,71,83,78,232,77.33,77.33,C
Student-007,female,group B,some college,standard,completed,88,95,92,275,91.67,91.67,A
Student-008,male,group B,some college,free/reduced,none,40,43,39,122,40.67,40.67,F
Student-009,male,group D,high school,free/reduced,completed,64,64,67,195,65.00,65.00,D
Student-010,female,group B,high school,free/reduced,none,38,60,50,148,49.33,49.33,F
Student-011,male,group C,associate's degree,standard,none,58,54,52,164,54.67,54.67,E
Student-012,male,group D,associate's degree,standard,none,40,52,43,135,45.00,45.00,F
Student-013,female,group B,high school,standard,none,65,81,73,219,73.00,73.00,C
Student-014,male,group A,some college,standard,completed,78,72,70,220,73.33,73.33,C
Student-015,female,group A,master's degree,standard,none,50,53,58,161,53.67,53.67,E
Student-016,female,group C,some high school,standard,none,69,75,78,222,74.00,74.00,C
Student-017,male,group C,high school,standard,none,88,89,86,263,87.67,87.67,B
Student-018,female,group B,some high school,free/reduced,none,18,32,28,78,26.00,26.00,F
Student-019,male,group C,master's degree,free/reduced,completed,46,42,46,134,44.67,44.67,F
Student-020,female,group C,associate's degree,free/reduced,none,54,58,61,173,57.67,57.67,E
Student-021,male,group D,high school,standard,none,66,69,63,198,66.00,66.00,D
Student-022,female,group B,some college,free/reduced,completed,65,75,70,210,70.00,70.00,C
Student-023,male,group D,some college,standard,none,44,54,53,151,50.33,50.33,E
Student-024,female,group C,some high school,standard,none,69,73,73,215,71.67,71.67,C
Student-025,male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,75.00,75.00,C
Student-026,male,group A,master's degree,free/reduced,none,73,74,72,219,73.00,73.00,C
Student-027,male,group B,some college,standard,none,69,54,55,178,59.33,59.33,E
Student-028,female,group C,bachelor's degree,standard,none,67,69,75,211,70.33,70.33,C
Student-029,male,group C,high school,standard,none,70,70,65,205,68.33,68.33,D
Student-030,female,group D,master's degree,standard,none,62,70,75,207,69.00,69.00,D
Student-031,female,group D,some college,standard,none,69,74,74,217,72.33,72.33,C
Student-032,female,group B,some college,standard,none,63,65,61,189,63.00,63.00,D
Student-033,female,group E,master's degree,free/reduced,none,56,72,65,193,64.33,64.33,D
Student-034,male,group D,some college,standard,none,40,42,38,120,40.00,40.00,F
Student-035,male,group E,some college,standard,none,97,87,82,266,88.67,88.67,B
Student-036,male,group E,associate's degree,standard,completed,81,81,79,241,80.33,80.33,B
Student-037,female,group D,associate's degree,standard,none,74,81,83,238,79.33,79.33,C
Student-038,female,group D,some high school,free/reduced,none,50,64,59,173,57.67,57.67,E
Student-039,female,group D,associate's degree,free/reduced,completed,75,90,88,253,84.33,84.33,B
Student-040,male,group B,associate's degree,free/reduced,none,57,56,57,170,56.67,56.67,E
Student-041,male,group C,associate's degree,free/reduced,none,55,61,54,170,56.67,56.67,E
Student-042,female,group C,associate's degree,standard,none,58,73,68,199,66.33,66.33,D
Student-043,female,group B,associate's degree,standard,none,53,58,65,176,58.67,58.67,E
Student-044,male,group B,some college,free/reduced,completed,59,65,66,190,63.33,63.33,D
Student-045,female,group E,associate's degree,free/reduced,none,50,56,54,160,53.33,53.33,E
Student-046,male,group B,associate's degree,standard,none,65,54,57,176,58.67,58.67,E
Student-047,female,group A,associate's degree,standard,completed,55,65,62,182,60.67,60.67,D
Student-048,female,group C,high school,standard,none,66,71,76,213,71.00,71.00,C
Student-049,female,group D,associate's degree,free/reduced,completed,57,74,76,207,69.00,69.00,D
Student-050,male,group C,high school,standard,completed,82,84,82,248,82.67,82.67,B
Student-051,male,group E,some college,standard,none,53,55,48,156,52.00,52.00,E
Student-052,male,group E,associate's degree,free/reduced,completed,77,69,68,214,71.33,71.33,C
Student-053,male,group C,some college,standard,none,53,44,42,139,46.33,46.33,F
Student-054,male,group D,high school,standard,none,88,78,75,241,80.33,80.33,B
Student-055,female,group C,some high school,free/reduced,completed,71,84,87,242,80.67,80.67,B
Student-056,female,group C,high school,free/reduced,none,33,41,43,117,39.00,39.00,F
Student-057,female,group E,associate's degree,standard,completed,82,85,86,253,84.33,84.33,B
Student-058,male,group D,associate's degree,standard,none,52,55,49,156,52.00,52.00,E
Student-059,male,group D,some college,standard,completed,58,59,58,175,58.33,58.33,E
Student-060,female,group C,some high school,free/reduced,none,0,17,10,27,9.00,9.00,F
Student-061,male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,75.00,75.00,C
Student-062,male,group A,some high school,free/reduced,none,39,39,34,112,37.33,37.33,F
Student-063,male,group A,associate's degree,free/reduced,none,62,61,55,178,59.33,59.33,E
Student-064,female,group C,associate's degree,standard,none,69,80,71,220,73.33,73.33,C
Student-065,female,group D,some high school,standard,none,59,58,59,176,58.67,58.67,E
Student-066,male,group B,some high school,standard,none,67,64,61,192,64.00,64.00,D
Student-067,male,group D,some high school,free/reduced,none,45,37,37,119,39.67,39.67,F
Student-068,female,group C,some college,standard,none,60,72,74,206,68.67,68.67,D
Student-069,male,group B,associate's degree,free/reduced,none,61,58,56,175,58.33,58.33,E
Student-070,female,group C,associate's degree,standard,none,39,64,57,160,53.33,53.33,E
Student-071,female,group D,some college,free/reduced,completed,58,63,73,194,64.67,64.67,D
Student-072,male,group D,some college,standard,completed,63,55,63,181,60.33,60.33,D
Student-073,female,group A,associate's degree,free/reduced,none,41,51,48,140,46.67,46.67,F
Student-074,male,group C,some high school,free/reduced,none,61,57,56,174,58.00,58.00,E
Student-075,male,group C,some high school,standard,none,49,49,41,139,46.33,46.33,F
Student-076,male,group B,associate's degree,free/reduced,none,44,41,38,123,41.00,41.00,F
Student-077,male,group E,some high school,standard,none,30,26,22,78,26.00,26.00,F
Student-078,male,group A,bachelor's degree,standard,completed,80,78,81,239,79.67,79.67,C
Student-079,female,group D,some high school,standard,completed,61,74,72,207,69.00,69.00,D
Student-080,female,group E,master's degree,standard,none,62,68,68,198,66.00,66.00,D
Student-081,female,group B,associate's degree,standard,none,47,49,50,146,48.67,48.67,F
Student-082,male,group B,high school,free/reduced,none,49,45,45,139,46.33,46.33,F
Student-083,male,group A,some college,free/reduced,completed,50,47,54,151,50.33,50.33,E
Student-084,male,group E,associate's degree,standard,none,72,64,63,199,66.33,66.33,D
Student-085,male,group D,high school,free/reduced,none,42,39,34,115,38.33,38.33,F
Student-086,female,group C,some college,standard,none,73,80,82,235,78.33,78.33,C
Student-087,female,group C,some college,free/reduced,none,76,83,88,247,82.33,82.33,B
Student-088,female,group D,associate's degree,standard,none,71,71,74,216,72.00,72.00,C
Student-089,female,group A,some college,standard,none,58,70,67,195,65.00,65.00,D
Student-090,female,group D,some high school,standard,none,73,86,82,241,80.33,80.33,B
Student-091,female,group C,bachelor's degree,standard,none,65,72,74,211,70.33,70.33,C
Student-092,male,group C,high school,free/reduced,none,27,34,36,97,32.33,32.33,F
Student-093,male,group C,high school,standard,none,71,79,71,221,73.67,73.67,C
Student-094,male,group C,associate's degree,free/reduced,completed,43,45,50,138,46.00,46.00,F
Student-095,female,group B,some college,standard,none,79,86,92,257,85.67,85.67,B
Student-096,male,group C,associate's degree,free/reduced,completed,78,81,82,241,80.33,80.33,B
Student-097,male,group B,some high school,standard,completed,65,66,62,193,64.33,64.33,D
Student-098,female,group E,some college,standard,completed,63,72,70,205,68.33,68.33,D
Student-099,female,group D,some college,free/reduced,none,58,67,62,187,62.33,62.33,D
Student-100,female,group D,bachelor's degree,standard,none,65,67,62,194,64.67,64.67,D
Student-101,male,group B,some college,standard,none,79,67,67,213,71.00,71.00,C
Student-102,male,group D,bachelor's degree,standard,completed,68,74,74,216,72.00,72.00,C
Student-103,female,group D,associate's degree,standard,none,85,91,89,265,88.33,88.33,B
Student-104,male,group B,high school,standard,completed,60,44,47,151,50.33,50.33,E
Student-105,male,group C,some college,standard,completed,98,86,90,274,91.33,91.33,A
Student-106,female,group C,some college,standard,none,58,67,72,197,65.67,65.67,D
Student-107,female,group D,master's degree,standard,none,87,100,100,287,95.67,95.67,A
Student-108,male,group E,associate's degree,standard,completed,66,63,64,193,64.33,64.33,D
Student-109,female,group B,associate's degree,free/reduced,none,52,76,70,198,66.00,66.00,D
Student-110,female,group B,some high school,standard,none,70,64,72,206,68.67,68.67,D
Student-111,female,group D,associate's degree,free/reduced,completed,77,89,98,264,88.00,88.00,B
Student-112,male,group C,high school,standard,none,62,55,49,166,55.33,55.33,E
Student-113,male,group A,associate's degree,standard,none,54,53,47,154,51.33,51.33,E
Student-114,female,group D,some college,standard,none,51,58,54,163,54.33,54.33,E
Student-115,female,group E,bachelor's degree,standard,completed,99,100,100,299,99.67,99.67,A
Student-116,male,group C,high school,standard,none,84,77,74,235,78.33,78.33,C
Student-117,female,group B,bachelor's degree,free/reduced,none,75,85,82,242,80.67,80.67,B
Student-118,female,group D,bachelor's degree,standard,none,78,82,79,239,79.67,79.67,C
Student-119,female,group D,some high school,standard,none,51,63,61,175,58.33,58.33,E
Student-120,female,group C,some college,standard,none,55,69,65,189,63.00,63.00,D
Student-121,female,group C,bachelor's degree,standard,completed,79,92,89,260,86.67,86.67,B
Student-122,male,group B,associate's degree,standard,completed,91,89,92,272,90.67,90.67,A
Student-123,female,group C,some college,standard,completed,88,93,93,274,91.33,91.33,A
Student-124,male,group D,high school,free/reduced,none,63,57,56,176,58.67,58.67,E
Student-125,male,group E,some college,standard,none,83,80,73,236,78.67,78.67,C
Student-126,female,group B,high school,standard,none,87,95,86,268,89.33,89.33,B
Student-127,male,group B,some high school,standard,none,72,68,67,207,69.00,69.00,D
Student-128,male,group D,some college,standard,completed,65,77,74,216,72.00,72.00,C
Student-129,male,group D,master's degree,standard,none,82,82,74,238,79.33,79.33,C
